Event name,Date,1,X,2,1X,12,X2,Handicap 1,Handicap 2,Total Under,Total Over
Зенит Санкт-Петербург - Арсенал Тула,13 сен 20:00,1.40,4.65,8.30,1.077,1.20,2.99,(-1.5) 2.22,(+1.5) 1.75,(2.5) 1.95,(2.5) 1.94
Спартак Москва - Урал,14 сен 16:30,1.61,4.10,5.40,1.158,1.25,2.34,(-1.0) 2.05,(+1.0) 1.87,(2.5) 2.07,(2.5) 1.84
ФК Сочи - Локомотив Москва,14 сен 19:00,4.30,3.52,1.88,1.94,1.31,1.23,(0) 3.24,(0) 1.40,(2.5) 1.73,(2.5) 2.22
Оренбург - Рубин,15 сен 14:00,2.39,3.125,3.22,1.36,1.38,1.59,(0) 1.70,(0) 2.30,(2.5) 1.61,(2.5) 2.46
Тамбов - ЦСКА Москва,15 сен 16:30,5.95,3.82,1.615,2.33,1.27,1.135,(+1.0) 1.81,(-1.0) 2.13,(2.5) 1.727,(2.5) 2.23
Краснодар - Крылья Советов,15 сен 19:00,1.41,4.70,7.80,1.086,1.196,2.95,(-1.5) 2.20,(+1.5) 1.76,(2.5) 2.07,(2.5) 1.833
Динамо Москва - Уфа,16 сен 20:00,1.69,3.55,5.65,1.147,1.31,2.19,(-1.0) 2.34,(+1.0) 1.68,(2.5) 1.58,(2.5) 2.53
Ростов - Ахмат Грозный,16 сен 20:30,1.83,3.54,4.55,1.21,1.31,1.99,(0) 1.363,(0) 3.45,(2.5) 1.71,(2.5) 2.26
Арсенал Тула - Урал,22 сен 14:00,2.06,3.44,3.65,1.29,1.32,1.78,(0) 1.52,(0) 2.74,(2.5) 1.76,(2.5) 2.18
Ахмат Грозный - Крылья Советов,22 сен 14:00,1.89,3.52,4.25,1.23,1.31,1.93,(-1.0) 2.77,(+1.0) 1.51,(2.5) 1.73,(2.5) 2.22
Динамо Москва - ФК Сочи,22 сен 14:00,1.69,3.72,5.30,1.163,1.285,2.19,(-1.0) 2.28,(+1.0) 1.71,(2.5) 1.73,(2.5) 2.22
Зенит Санкт-Петербург - Рубин,22 сен 14:00,1.38,4.75,8.70,1.071,1.193,3.10,(-1.5) 2.17,(+1.5) 1.78,(2.5) 1.95,(2.5) 1.95
Оренбург - Локомотив Москва,22 сен 14:00,4.40,3.54,1.85,1.97,1.31,1.22,(+1.0) 1.55,(-1.0) 2.65,(2.5) 1.73,(2.5) 2.22
Тамбов - Ростов,22 сен 14:00,4.55,3.44,1.86,1.96,1.32,1.21,(+1.0) 1.52,(-1.0) 2.74,(2.5) 1.63,(2.5) 2.41
Уфа - Спартак Москва,22 сен 14:00,3.28,3.30,2.26,1.65,1.35,1.35,(0) 2.40,(0) 1.65,(2.5) 1.68,(2.5) 2.31
ЦСКА Москва - Краснодар,22 сен 14:00,2.44,3.40,2.89,1.43,1.33,1.57,(0) 1.81,(0) 2.13,(2.5) 1.85,(2.5) 2.05
Луч - Динамо Москва,25 сен 20:00,3.88,3.04,2.12,1.71,1.38,1.25,(+1.0) 1.36,(-1.0) 3.30,(2.5) 1.56,(2.5) 2.48
Мордовия - Ростов,25 сен 20:00,6.15,4.05,1.54,2.45,1.24,1.117,(+1.0) 1.92,(-1.0) 1.93,(2.5) 1.80,(2.5) 2.05
Химки - Рубин,25 сен 20:00,3.50,3.25,2.15,1.69,1.333,1.30,(+1.0) 1.37,(-1.0) 3.24,(2.5) 1.833,(2.5) 2.01
Черноморец Новороссийск - Урал,25 сен 20:00,8.30,3.88,1.47,2.65,1.25,1.067,(+1.5) 1.61,(-1.5) 2.40,(2.5) 1.666,(2.5) 2.25
Алания - ЦСКА Москва,26 сен 20:00,10.00,5.85,1.27,3.70,1.128,1.044,(+1.5) 2.13,(-1.5) 1.76,(3.5) 1.67,(3.5) 2.25
Балтика - Локомотив Москва,26 сен 20:00,7.90,4.70,1.39,2.96,1.183,1.074,(+1.5) 1.77,(-1.5) 2.11,(2.5) 2.05,(2.5) 1.80
Енисей - Зенит Санкт-Петербург,26 сен 20:00,11.75,6.25,1.23,4.10,1.114,1.028,(+2.0) 1.80,(-2.0) 2.07,(3.5) 1.64,(3.5) 2.30
КАМАЗ Набережные Челны - Спартак Москва,26 сен 20:00,11.50,6.30,1.23,4.10,1.112,1.03,(+2.0) 1.80,(-2.0) 2.07,(3.5) 1.67,(3.5) 2.25
СКА-Хабаровск - Ахмат Грозный,26 сен 20:00,3.08,2.99,2.51,1.52,1.39,1.37,(0) 2.14,(0) 1.75,(2.5) 1.60,(2.5) 2.39
Томь - Тамбов,26 сен 20:00,3.02,3.02,2.53,1.51,1.38,1.38,(0) 2.11,(0) 1.77,(2.5) 1.64,(2.5) 2.30
Торпедо Москва - Крылья Советов,26 сен 20:00,2.76,3.14,2.65,1.47,1.36,1.44,(0) 1.96,(0) 1.89,(2.5) 1.80,(2.5) 2.05
Факел - Арсенал Тула,26 сен 20:00,4.75,3.28,1.84,1.95,1.33,1.18,(+1.0) 1.533,(-1.0) 2.59,(2.5) 1.66,(2.5) 2.26
ФК Нижний Новгород - Краснодар,26 сен 20:00,5.70,4.00,1.58,2.36,1.24,1.133,(+1.0) 1.89,(-1.0) 1.96,(2.5) 2.02,(2.5) 1.82
Чайка Песчанокопское - Уфа,26 сен 20:00,3.94,3.20,2.03,1.77,1.35,1.25,(0) 2.86,(0) 1.45,(2.5) 1.70,(2.5) 2.19
Чертаново - Оренбург,26 сен 20:00,3.25,3.14,2.31,1.60,1.36,1.333,(0) 2.33,(0) 1.64,(2.5) 1.727,(2.5) 2.15
Шинник - ФК Сочи,26 сен 20:00,2.99,3.125,2.47,1.533,1.36,1.39,(0) 2.13,(0) 1.76,(2.5) 1.58,(2.5) 2.43
