mail.ru,mail.ru/,Почта Mail.Ru,10581469,75
hsdigital,www.hsdigital.ru/,Hearst Shkulev Digital,3530216,80
otvet.mail.ru,otvet.mail.ru/,Ответы Mail.Ru,3339314,87
Lenta,lenta.ru,Lenta.Ru,3309204,81
RS_Total/Riaru_Total,ria.ru,РИА Новости: главные новости часа,3178916,86
kp,kp.ru,Комсомольская правда-Digital,3013921,73
bazr.ru,bazr.ru/,BAZR.ru - Смотреть бесплатно русские сериалы,2772154,88
mic_izvestia,iz.ru,Известия,2501607,86
news.rambler.ru,news.rambler.ru/,Рамблер/медиа - главные новости и cобытия в России и мире,2283886,76
RBCRU,www.rbc.ru,"РБК - РосБизнесКонсалтинг - новости, курсы валют, погода",2202987,89
mk,www.mk.ru,МОСКОВСКИЙ КОМСОМОЛЕЦ,2063031,84
hsdigital/wn,hearst-shkulev-media.ru,Women's Network Hearst Shkulev Media,2029543,74
gazeta_all,www.gazeta.ru/,Газета.Ru: Главные новости и подробности текущих событий,1891735,84
go.mail.ru,go.mail.ru/,Поиск Mail.Ru,1853652,77
vkontakte.ru,vkontakte.ru/,ВКонтакте.ру,1808526,79
vesti.ru,vesti.ru/,Информационный канал &quot;Вести&quot;,1772205,80
drom,www.drom.ru,"Drom.ru - продажа автомобилей, отзывы, форумы, каталоги",1702834,88
russian.rt.com,russian.rt.com/,RT на русском,1464723,85
HeadHunter,hh.ru/,HeadHunter Group - Online Hiring Services,1420460,81
rg.ru,rg.ru/,Российская Газета: издание Правительства РФ,1407272,89
2gis,www.2gis.ru,Карта онлайн со справочником организаций — 2ГИС,1040849,78
Pikabu,pikabu.ru,Сообщество Пикабу,1031291,76
hsdigital/rn/smi,news.ngs.ru,Сеть городских порталов Hearst Shkulev Digital — НОВОСТИ,995157,94
dni.ru,dni.ru/,ДНИ ру - интернет-газета,991464,75
deita.ru,deita.ru/,&quot;Дейта.RU&quot; новости Дальнего Востока России,968193,94
TASS_total,tass.ru,ТАСС - Новости в России и мире,926822,88
mail-my,my.mail.ru/,Мой Мир Mail.Ru,873818,74
AIF,www.aif.ru,"Аргументы и Факты //  Объясняем, что происходит",850377,73
woman.ru,www.woman.ru/,"Woman.ru - интернет для женщин: звезды, мода, красота, мы и мужчины",845678,76
smi2.ru,smi2.ru/,СМИ2 - Новостной агрегатор и новостная обменная сеть,818131,79
mail.ru,mail.ru/,Почта Mail.Ru,10581469,75
hsdigital,www.hsdigital.ru/,Hearst Shkulev Digital,3530216,80
otvet.mail.ru,otvet.mail.ru/,Ответы Mail.Ru,3339314,87
Lenta,lenta.ru,Lenta.Ru,3309204,81
RS_Total/Riaru_Total,ria.ru,РИА Новости: главные новости часа,3178916,86
kp,kp.ru,Комсомольская правда-Digital,3013921,73
bazr.ru,bazr.ru/,BAZR.ru - Смотреть бесплатно русские сериалы,2772154,88
mic_izvestia,iz.ru,Известия,2501607,86
news.rambler.ru,news.rambler.ru/,Рамблер/медиа - главные новости и cобытия в России и мире,2283886,76
RBCRU,www.rbc.ru,"РБК - РосБизнесКонсалтинг - новости, курсы валют, погода",2202987,89
mk,www.mk.ru,МОСКОВСКИЙ КОМСОМОЛЕЦ,2063031,84
hsdigital/wn,hearst-shkulev-media.ru,Women's Network Hearst Shkulev Media,2029543,74
gazeta_all,www.gazeta.ru/,Газета.Ru: Главные новости и подробности текущих событий,1891735,84
go.mail.ru,go.mail.ru/,Поиск Mail.Ru,1853652,77
vkontakte.ru,vkontakte.ru/,ВКонтакте.ру,1808526,79
vesti.ru,vesti.ru/,Информационный канал &quot;Вести&quot;,1772205,80
drom,www.drom.ru,"Drom.ru - продажа автомобилей, отзывы, форумы, каталоги",1702834,88
russian.rt.com,russian.rt.com/,RT на русском,1464723,85
HeadHunter,hh.ru/,HeadHunter Group - Online Hiring Services,1420460,81
rg.ru,rg.ru/,Российская Газета: издание Правительства РФ,1407272,89
2gis,www.2gis.ru,Карта онлайн со справочником организаций — 2ГИС,1040849,78
Pikabu,pikabu.ru,Сообщество Пикабу,1031291,76
hsdigital/rn/smi,news.ngs.ru,Сеть городских порталов Hearst Shkulev Digital — НОВОСТИ,995157,94
dni.ru,dni.ru/,ДНИ ру - интернет-газета,991464,75
deita.ru,deita.ru/,&quot;Дейта.RU&quot; новости Дальнего Востока России,968193,94
TASS_total,tass.ru,ТАСС - Новости в России и мире,926822,88
mail-my,my.mail.ru/,Мой Мир Mail.Ru,873818,74
AIF,www.aif.ru,"Аргументы и Факты //  Объясняем, что происходит",850377,73
woman.ru,www.woman.ru/,"Woman.ru - интернет для женщин: звезды, мода, красота, мы и мужчины",845678,76
smi2.ru,smi2.ru/,СМИ2 - Новостной агрегатор и новостная обменная сеть,818131,79
Lentainform,lentainform.com/,Lentainform.com - Эффективная система рекомендации контента,809514,65
ruprom,tiu.ru,Tiu.ru — Товары и услуги. Крупнейший в России портал товаров и услуг,787981,91
irecommend.ru,irecommend.ru/,IRecommend - отзывы и рекомендации от реальных людей,787016,77
championat_com,championat.com,Чемпионат: ведущий сайт о спорте,776851,79
ren.tv,ren.tv/,Новости - наше призвание. РЕН ТВ,722192,82
farpost,farpost.ru,Сайты Владивостока,717495,94
echo.msk.ru,www.echo.msk.ru/,Эхо Москвы,687302,80
tutu.ru,tutu.ru/,"Туту.ру - авиа и ж/д билеты, отели, информация для путешественников",673168,91
CIAN,www.cian.ru/,ЦИАН ГРУПП - Лидер онлайн недвижимости России,664084,94
NaPlatforme,mirtesen.ru,Рекомендательная социальная сеть МирТесен,660441,71
rutube.ru,www.rutube.ru/,Rutube - лучшее видео:),655656,77
kommersant.ru,www.kommersant.ru/,&quot;Коммерсантъ&quot;. Издательский дом,619887,89
rlsnet.ru,www.rlsnet.ru/,ЭНЦИКЛОПЕДИЯ ЛЕКАРСТВ - www.rlsnet.ru,615645,71
povar.ru,povar.ru/,Повар.ру - все рецепты!,594675,88
tsargradtv,tsargrad.tv/,Телеканал &quot;Царьград&quot; - Первый Русский,592735,88
Sportbox,www.sportbox.ru,Sportbox.ru,585038,88
hsdigital/wn/woman/media,hsdigital/wn/woman/media,Woman.ru Медиа,544879,81
zaycev.net,zaycev.net/,ТУТ ЗАЙЦЕВ.НЕТ! Только самые свежие и популярные mp3 БЕСПЛАТНО и БЕЗ РЕГИСТРАЦИИ,529871,86
ura.ru,ura.ru/,URA.Ru - Российское информационное агентство,528739,94
riafan.ru,riafan.ru/,Федеральное агентство новостей,518949,76
vz.ru,vz.ru/,ВЗГЛЯД.РУ,515435,78
action,www.glavbukh.ru/,"&lt;Актион-МЦФЭР&gt; — издания для директоров, руководителей, главбухов",490212,78
rusprofile.ru,www.rusprofile.ru/,Rusprofile.ru - бесплатная проверка контрагента,476438,94
life.ru,life.ru/,L!FE.ru,472148,81
ntv.ru,www.ntv.ru/,"НТВ.ru - Новости, видео, прямой эфир телеканала НТВ",462648,75
1tv.ru,www.1tv.ru/,1TV - ПЕРВЫЙ КАНАЛ - ТВ РОССИИ,461624,69
russianfood.com,russianfood.com/,Рецепты кулинарных блюд от RussianFood.com,442049,73
sport-express.ru,sport-express.ru/,СПОРТ-ЭКСПРЕСС,441672,82
starhit.ru,starhit.ru/,Starhit.ru - проект Андрея Малахова о звездах,440878,80
regnum.ru,www.regnum.ru/,ИА REGNUM,439429,85
wday.ru,www.wday.ru/,Женский онлайн-журнал WDay.ru,431982,66
BabyBlog,www.babyblog.ru,BabyBlog.ru — общение о семье и детях,415190,73
baza.drom.ru,baza.drom.ru/,Объединенная база запчастей,402039,89
4pda.ru,4pda.ru/,4PDA.ru,400011,70
fontanka.ru,fontanka.ru/,Фонтанка.Ру - новости Петербурга,388918,92
gazeta.ru/culture,www.gazeta.ru/culture/,Газета.Ru: Культура,386147,85
gazeta.ru/politics,www.gazeta.ru/politics/,Газета.Ru: Политика,384507,89
u-f.ru,www.u-f.ru/,Южный Федеральный - газета южного федерального округа,366657,69
news-r.ru,news-r.ru/,Регион online news-r.ru,359350,94
fishki,fishki.net/,Фишки Нет - первое развлекательное сообщество Рунета,357243,62
Superjob,www.superjob.ru/,"Работа, вакансии, подбор персонала, резюме, поиск работы - SuperJob",348692,95
teleprogramma.pro,teleprogramma.pro/,Teleprogramma.pro: телегид и шоу-бизнес,348048,88
e1_ru,e1.ru,E1.RU — Екатеринбург Он-Лайн,346093,90
rugion,rugion.ru/,Сеть региональных сайтов &quot;Ругион&quot;,345541,95
m.babyblog.ru,m.babyblog.ru/,BabyBlog - мобильная версия,343611,73
yaplakal.com,www.yaplakal.com/,ЯПлакалъ - крупнейшее информационно-развлекательное сообщество рунета,339859,68
progorod,progorod43.ru,Сеть порталов PRO Город,338769,97
edimdoma.ru,www.edimdoma.ru/,«Едим Дома!» — кулинарная социальная сеть. Рецепты.,328692,66
womanmediafort,www.mediafort.ru/,Женские сайты группы &quot;МедиаФорт&quot;,327078,71
vokrug.tv,www.vokrug.tv/,"Вокруг ТВ - телегид, телепрограмма и энциклопедия телевидения",324370,69
apteka.ru,apteka.ru/,Apteka.RU - сертифицированные лекарства по низким ценам,320666,96
Rabotagroup,www.rabota.ru,Rabota.ru - свежие вакансии и резюме России и СНГ,317050,94
ruposters.ru,ruposters.ru/,Рупостерс,315935,83
vedomosti.ru,vedomosti.ru/,Ведомости - ежедневная деловая газета,311165,85
gazeta.ru/social,www.gazeta.ru/social/,Газета.Ru: Общество,305214,90
hsdigital/wn/woman/forum,hsdigital/wn/woman/forum,Woman.ru - Форум,303308,67
fssprus,www.fssprus.ru,Федеральная служба судебных приставов,300401,97
kino-teatr.ru,www.kino-teatr.ru/,"Кино-Театр.РУ - интервью, статьи, премьеры, новости кино и театра",295419,64
ngs_ru,ngs.ru,Независимый Городской Сайт Новосибирска,293507,95
svpressa,svpressa.ru/,Свободная Пресса / svpressa.ru,293389,78
russian7.ru,russian7.ru/,Русская семерка,292320,74
eda-recepty.com,eda-recepty.com/,🌶🍅 Кулинарные рецепты 🍰 1000.menu 🍔,290849,64
5-tv.ru,www.5-tv.ru/,Пятый канал,284438,82
zr.ru,www.zr.ru/,Журнал &quot;За рулем&quot;. Автомобили в России,279720,84
1Mediainvest,1mediainvest.ru/,1Mediainvest - федеральный медиахолдинг,276079,90
sovsport.ru,www.sovsport.ru/,Советский спорт,272282,90
hsdigital/rn/smi/66,hsdigital/rn/smi/66,Е1.RU - Екатеринбург онлайн. Hearst Shkulev Digital,269471,91
ctc.ru,ctc.ru/,Телеканал СТС,263232,85
wf.mail.ru,wf.mail.ru/,Warface - онлайн-шутер нового поколения от CryTek - разработчика FarCry и Crysis,259323,80
360tv,360tv.ru,Телеканал 360°,258422,89
eg.ru,www.eg.ru/,"ЭКСПРЕСС газета - новости, аналитика, истории",257740,65
dom2best.com,dom2best.com/,Дом2 шоу онлайн,257070,95
tourister,tourister.ru,Туристер.Ру,253389,78
